Sr.No,Std,Subject,Category,YouTube Link,Display Date
1,1,Drawing,Period 1,https://youtu.be/jtGHwllqI6o,6/22/2020
2,1,English,Period 1,https://youtu.be/jn3hJKXLerU,6/22/2020
3,1,Marathi,Period 1,https://youtu.be/uWC_wiCy2NQ,6/22/2020
4,1,Maths,Period 1,https://youtu.be/uK-W6dAbbXM,6/22/2020
5,1,Science,Period 1,https://youtu.be/aryf2kxocCo,6/22/2020
6,2,Drawing,Period 1,https://youtu.be/IntM86B4zHY,6/22/2020
7,2,English,Period 1,https://youtu.be/gnSS6v2xVAo,6/22/2020
8,2,Marathi,Period 1,https://youtu.be/1UHtpegeTL0,6/22/2020
9,2,Maths,Period 1,https://youtu.be/q3Bjjy-DjKc,6/22/2020
10,2,Science,Period 1,https://youtu.be/lAc2K1Ze_sA,6/22/2020
11,3,Computer,Period 1,https://youtu.be/VLs3cQVtoJs,6/22/2020
12,3,Drawing,Period 1,https://youtu.be/DPvsgj-zZrQ,6/22/2020
13,3,English,Period 1,https://youtu.be/FpRLpv4iS0E,6/22/2020
14,3,EVS,Period 1,https://youtu.be/TaBLLzPwtyQ,6/22/2020
15,3,Marathi,Period 1,https://youtu.be/Kryc1696Bg4,6/22/2020
16,3,Maths,Period 1,https://youtu.be/JoqYLyOfYho,6/22/2020
17,3,Science,Period 1,https://youtu.be/5eUsqy0vcO0,6/22/2020
18,4,Computer,Period 1,https://youtu.be/mxKq5jzWIdo,6/22/2020
19,4,Drawing,Period 1,https://youtu.be/cwkyVg7vF7E,6/22/2020
20,4,English,Period 1,https://youtu.be/Q29ZK3tiXUc,6/22/2020
21,4,EVS,Period 1,https://youtu.be/Lp7gywrsVJo,6/22/2020
22,4,Marathi,Period 1,https://youtu.be/_85fN9vGb5I,6/22/2020
23,4,Maths,Period 1,https://youtu.be/18UqXOvZRy0,6/22/2020
24,4,Science,Period 1,https://youtu.be/Dbjb54dc8A8,6/22/2020
25,5,Computer,Period 1,https://youtu.be/sbBaoOQMRJg,6/22/2020
26,5,Drawing,Period 1,https://youtu.be/OhfKe3RL81Y,6/22/2020
27,5,English,Period 1,https://youtu.be/w4T7kR1J78k,6/22/2020
28,5,Hindi,Period 1,https://youtu.be/fsXelMdflzk,6/22/2020
29,5,Marathi,Period 1,https://youtu.be/5cUErH9YXAk,6/22/2020
30,5,Maths,Period 1,https://youtu.be/RN2plVpxKc0,6/22/2020
31,5,Science,Period 1,https://youtu.be/EIB-EFXCV1c,6/22/2020
32,5,Social Studies,Period 1,https://youtu.be/ExumWwJfQjY,6/22/2020
33,6,Computer,Period 1,https://youtu.be/TgYW0lqnJqA,6/22/2020
34,6,Drawing,Period 1,https://youtu.be/AzjGFZhDyOk,6/22/2020
35,6,English,Period 1,https://youtu.be/_u4GTR6EK-g,6/22/2020
36,6,Hindi,Period 1,https://youtu.be/xOUMR3LgiJ0,6/22/2020
37,6,Marathi,Period 1,https://youtu.be/bbB7fXmQyKQ,6/22/2020
38,6,Maths,Period 1,https://youtu.be/su240Wn1Wmo,6/22/2020
39,6,Science,Period 1,https://youtu.be/zWcLK-j3CMo,6/22/2020
40,6,Social Studies,Period 1,https://youtu.be/PXoz6taHiXg,6/22/2020
41,7,Computer,Period 1,https://youtu.be/eVWb4seBoD4,6/22/2020
42,7,Drawing,Period 1,https://youtu.be/VTvC16xqOwM,6/22/2020
43,7,English,Period 1,https://youtu.be/y-PmgM3pHA0,6/22/2020
44,7,Hindi,Period 1,https://youtu.be/i0OzCglhE2A,6/22/2020
45,7,Marathi,Period 1,https://youtu.be/t_K8IUOP0n0,6/22/2020
46,7,Maths,Period 1,https://youtu.be/7NXhatDAlPo,6/22/2020
47,7,Science,Period 1,https://youtu.be/FORtv5icHVM,6/22/2020
48,7,Social Studies,Period 1,https://youtu.be/7j5ExcajL0c,6/22/2020
49,8,Computer,Period 1,https://youtu.be/Oh_jhf70y9U,6/22/2020
50,8,Drawing,Period 1,https://youtu.be/DY_Bo8uh0Q8,6/22/2020
51,8,English,Period 1,https://youtu.be/8tgVql9WsS0,6/22/2020
52,8,Hindi,Period 1,https://youtu.be/VwDyCJgp_QY,6/22/2020
53,8,Marathi,Period 1,https://youtu.be/QyygrayA0X0,6/22/2020
54,8,Maths,Period 1,https://youtu.be/ZXWBUAhcuV8,6/22/2020
55,8,Sanskrit,Period 1,https://youtu.be/bOnoLLkjQ-8,6/22/2020
56,8,Science,Period 1,https://youtu.be/KbW2QdNXlzU,6/22/2020
57,8,Social Studies,Period 1,https://youtu.be/ZdyC6poEfDk,6/22/2020
58,9,Computer,Period 1,https://youtu.be/5Mh2yR0gDeE,6/22/2020
59,9,English,Period 1,https://youtu.be/BjqHOLcQdrs,6/22/2020
60,9,Hindi,Period 1,https://youtu.be/oofyfUeW5Ds,6/22/2020
61,9,Marathi,Period 1,https://youtu.be/VN79sNDCtB4,6/22/2020
62,9,Maths,Period 1,https://youtu.be/QzzpcM-iHmc,6/22/2020
63,9,Sanskrit,Period 1,https://youtu.be/FXyRnzYC4nU,6/22/2020
64,9,Science1,Period 1,https://youtu.be/bxRcS3u2Dmg,6/22/2020
65,9,Science2,Period 1,https://youtu.be/DMDu4SNT5Dk,6/22/2020
66,9,Social Studies,Period 1,https://youtu.be/tqAdn0batc8,6/22/2020
67,10,English,Period 1,https://youtu.be/sXlecE3tKRY,6/22/2020
68,10,Hindi,Period 1,https://youtu.be/oofyfUeW5Ds,6/22/2020
69,10,Marathi,Period 1,https://youtu.be/VN79sNDCtB4,6/22/2020
70,10,Maths,Period 1,https://youtu.be/uWjNmkZXEWA,6/22/2020
71,10,Sanskrit,Period 1,https://youtu.be/FXyRnzYC4nU,6/22/2020
72,10,Science1,Period 1,https://youtu.be/jjCk2wR84Lw,6/22/2020
73,10,Science2,Period 1,https://youtu.be/S9w6ewKXG-U,6/22/2020
74,10,Social Studies,Period 1,https://youtu.be/vN1ZnuU1T5g,6/22/2020
75,Jr.KG,Drawing,Period 1,https://youtu.be/lDkl5b5Bfww,6/22/2020
76,Jr.KG,English,Period 1,https://youtu.be/rG9199ZPX2k,6/22/2020
77,Jr.KG,EVS,Period 1,https://youtu.be/vNJEcGP6cmg,6/22/2020
78,Jr.KG,Maths,Period 1,https://youtu.be/CSjEszF9eN4,6/22/2020
79,Sr.KG,Drawing,Period 1,https://youtu.be/PJXRt7k1cq4,6/22/2020
80,Sr.KG,English,Period 1,https://youtu.be/xfZHnFkpjgM,6/22/2020
81,Sr.KG,EVS,Period 1,https://youtu.be/RmGW4AhdIKY,6/22/2020
82,Sr.KG,Maths,Period 1,https://youtu.be/IWGNDuxZd5E,6/22/2020
